Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Primary Equipment ,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Grip,Load Position (Ending),Continuous or Alternating Legs ,Movement Pattern #1,Movement Pattern #2,Plane Of Motion #1,Body Region,Force Type,Mechanics,Primary Exercise Classification
Heavy Sandbag Bear Hug Roll,,Video Explanation,Intermediate,Abdominals,Obliques,,Heavy Sandbag,None,0,Supine,Double Arm,Neutral,Bear Hug,Continuous,Unsorted*,,Transverse Plane,Core,Other,Compound,Unsorted*
Heavy Sandbag Alternating Hang Shoulder Clean,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,None,0,Standing,Double Arm,Neutral,Shoulder,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Other,Compound,Unsorted*
Heavy Sandbag Hang Shoulder Clean,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,None,0,Standing,Double Arm,Neutral,Shoulder,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Other,Compound,Unsorted*
Kettlebell Dead Clean to Horn Grip Alternating Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Horn Grip,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Unsorted*,Compound,Ballistics
Kettlebell Dead Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Kettlebell,None,0,Standing,Double Arm,Horn Grip,Front Rack,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Kettlebell Dead Clean to Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Horn Grip,Overhead,Continuous,Vertical Push,Hip Hinge,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Clubbell Barbarian Alternating Forward Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,Clubbell,None,0,Standing,Double Arm,Neutral,Overhead,Alternating,Knee Dominant,,Sagittal Plane,Full Body,Push & Pull,Compound,Unsorted*
Clubbell Barbarian Forward Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,Clubbell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Full Body,Push & Pull,Compound,Unsorted*
Macebell Barbarian Alternating Forward Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,Macebell,None,0,Standing,Double Arm,Neutral,Overhead,Alternating,Knee Dominant,,Sagittal Plane,Full Body,Push & Pull,Compound,Unsorted*
Macebell Barbarian Forward Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,Macebell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Full Body,Push & Pull,Compound,Unsorted*
Double Dumbbell Overhead Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Standing,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Front Rack Ipsilateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Macebell Order Contralateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Macebell,Plyo Box,1,Standing,Single Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Macebell Order Ipsilateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Macebell,Plyo Box,1,Standing,Single Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Macebell Order Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Macebell,Plyo Box,1,Standing,Double Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Macebell Order Alternating Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Macebell,Plyo Box,1,Standing,Double Arm,Neutral,Order,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Barbell Zercher Step Up,Video Demonstration,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Plyo Box,1,Standing,Double Arm,No Grip,Zercher,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Barbell Zercher Alternating Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Plyo Box,1,Standing,Double Arm,No Grip,Zercher,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Bulgarian Bag Back Rack Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bulgarian Bag,Plyo Box,1,Standing,Double Arm,Neutral,Back Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Bulgarian Bag Back Rack Alternating Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bulgarian Bag,Plyo Box,1,Standing,Double Arm,Neutral,Back Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Sandbag Back Rack Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sandbag,Plyo Box,1,Standing,Double Arm,Neutral,Back Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Sandbag Back Rack Alternating Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sandbag,Plyo Box,1,Standing,Double Arm,Neutral,Back Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Sandbag Front Rack Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sandbag,Plyo Box,1,Standing,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Sandbag Front Rack Alternating Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sandbag,Plyo Box,1,Standing,Double Arm,Neutral,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Plate Overhead Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Weight Plate,Plyo Box,1,Standing,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Plate Overhead Alternating Step Up,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Weight Plate,Plyo Box,1,Standing,Double Arm,Neutral,Overhead,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Front Rack Alternating Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Neutral,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Bottoms Up,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Overhead Alternating Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Pronated,Overhead,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Bottoms Up,Overhead,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Suspension Alternating Hawaiian Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Suspension Trainer,None,0,Single Leg Standing,Double Arm,Neutral,No Load,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Unsorted*
Double Kettlebell Suitcase Alternating Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Neutral,Suitcase,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Kettlebell Goblet Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Goblet,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Kettlebell Goblet Alternating Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Goblet,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Dumbbell Goblet Step Up,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Standing,Double Arm,Goblet,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Dumbbell Goblet Alternating Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Standing,Double Arm,Goblet,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Tire Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Tire,None,0,Single Leg Standing Bent Knee,No Arms,No Grip,No Load,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Tire Alternating Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Tire,None,0,Single Leg Standing Bent Knee,No Arms,No Grip,No Load,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Dumbbell Crush Grip Seated Good Morning,,,Novice,Back,Erector Spinae,Gluteus Maximus,Dumbbell,Bench (Flat),1,Seated,Double Arm,Crush Grip,Low Hold,Continuous,Hip Hinge,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Trap Bar Bottoms Up Z Press,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Trap Bar,None,0,Seated Floor,Double Arm,Bottoms Up,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Kettlebell Horn Grip Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Horn Grip,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Kettlebell Horn Grip Alternating Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Double Arm,Horn Grip,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Superband Assisted Reverse Nordic,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,,Superband,None,0,Tall Kneeling,Double Arm,Pronated,No Load,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Unsorted*,Isolation,Unsorted*
Single Arm Clubbell Mill to Reverse Mill,,,Advanced,Shoulders,Posterior Deltoids,Gluteus Maximus,Clubbell,None,0,Standing,Single Arm,Neutral,Behind Back,Continuous,Rotational,,Transverse Plane,Upper Body,Pull,Compound,Ballistics
Single Arm Macebell Mill to Reverse Mill,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,Macebell,None,0,Standing,Single Arm,Neutral,Behind Back,Continuous,Rotational,,Transverse Plane,Upper Body,Pull,Compound,Ballistics
Alternating Single Arm Macebell Mill,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,Macebell,None,0,Standing,Single Arm,Neutral,Behind Back,Continuous,Rotational,,Transverse Plane,Upper Body,Pull,Compound,Ballistics
Single Arm Dumbbell Hang Power Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,Dumbbell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Alternating Single Arm Dumbbell Hang Power Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,Dumbbell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Double Dumbbell Suitcase Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Suitcase,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Dumbbell Front Rack Alternating Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Kettlebell Front Rack Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Kettlebell Suitcase Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Suitcase,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Kettlebell Suitcase Contralateral Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Kettlebell Suitcase Ipsilateral Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Kettlebell Front Rack Contralateral Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Kettlebell Front Rack Ipsilateral Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Kettlebell Overhead Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Kettlebell Overhead Contralateral Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Kettlebell Overhead Ipsilateral Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Kettlebell Bottoms Up Front Rack Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Kettlebell Bottoms Up Overhead Russian Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Kettlebell Bottoms Up Overhead Contralateral Russian Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Russian Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Barbell Back Rack Russian Step Up,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Pronated,Back Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Barbell Front Rack Russian Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Pronated,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Dumbbell Overhead Alternating Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Overhead,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Dumbbell Overhead Contralateral Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Barbell Overhead Alternating Russian Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Pronated,Overhead,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Barbell Overhead Russian Step Up,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Dumbbell Suitcase Contralateral Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Dumbbell Suitcase Ipsilateral Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Dumbbell Overhead Ipsilateral Russian Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Clubbell Order Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Clubbell Order Alternating Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Order,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Clubbell Order Contralateral Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Clubbell Order Ipsilateral Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Bodyweight Alternating Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bodyweight,Plyo Box,1,Single Leg Standing Bent Knee,No Arms,No Grip,No Load,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Bodyweight Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bodyweight,Plyo Box,1,Single Leg Standing Bent Knee,No Arms,No Grip,No Load,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Clubbell Order Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Clubbell Order Alternating Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Clubbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Order,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Barbell Back Rack Alternating Russian Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Pronated,Back Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Barbell Front Rack Alternating Russian Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Pronated,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Dumbbell Suitcase Alternating Russian Step Up,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Suitcase,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Dumbbell Front Rack Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Double Dumbbell Overhead Russian Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Dumbbell Front Rack Contralateral Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Dumbbell Front Rack Ipsilateral Russian Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Dumbbell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Macebell Order Contralateral Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Macebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Macebell Order Ipsilateral Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Macebell,Plyo Box,1,Single Leg Standing Bent Knee,Single Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Macebell Order Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Macebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Order,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Macebell Order Alternating Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Macebell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Order,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Barbell Zercher Russian Step Up,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,No Grip,Zercher,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Barbell Zercher Alternating Russian Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,No Grip,Zercher,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Bulgarian Bag Back Rack Russian Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bulgarian Bag,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Neutral,Back Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
